id,name,origin_city,origin_state,origin_lat,origin_lng,dest_city,dest_state,dest_lat,dest_lng,route_miles,route_duration_hours,pickup_time,pickup_end_time,delivery_time,delivery_end_time,dwell_hours,active_days
9173Q-615,9173Q-615,Colton,CA,34.043,-117.3333,Santa Ana,CA,33.7455,-117.8677,50.4,0.9,19:15:00,19:30:00,20:45:00,21:00:00,0.5,"1,2,3,5,6"
9173Q-616,9173Q-616,Santa Ana,CA,33.7455,-117.8677,Colton,CA,34.043,-117.3333,51.6,0.9,21:00:00,21:15:00,22:15:00,22:30:00,0.5,"1,2,3,5,6"
9173Q-617,9173Q-617,Colton,CA,34.043,-117.3333,Santa Ana,CA,33.7455,-117.8677,50.4,0.9,20:00:00,20:15:00,21:30:00,21:45:00,0.5,"2,4"
9173Q-618,9173Q-618,Santa Ana,CA,33.7455,-117.8677,Colton,CA,34.043,-117.3333,51.6,0.9,21:45:00,22:00:00,23:15:00,23:30:00,0.5,"2,4"
9173Q-711,9173Q-711,Colton,CA,34.043,-117.3333,Anaheim,CA,33.8366,-117.9143,34.1,0.6,13:00:00,13:15:00,14:00:00,14:10:00,0.5,"1,2,3,4,5"
9173Q-712,9173Q-712,Anaheim,CA,33.8366,-117.9143,Colton,CA,34.043,-117.3333,35.8,0.7,14:10:00,14:15:00,15:15:00,15:30:00,0.5,"1,2,3,4,5"
9173Q-801,9173Q-801,Colton,CA,34.043,-117.3333,San Bernardino,CA,34.1083,-117.2898,9.1,0.2,6:50:00,7:05:00,7:45:00,7:55:00,0.5,"1,2,3,4,5,6"
9173Q-802,9173Q-802,San Bernardino,CA,34.1083,-117.2898,Colton,CA,34.043,-117.3333,8.6,0.2,7:55:00,8:00:00,8:40:00,8:55:00,0.5,"1,2,3,4,5,6"
9173Q-807,9173Q-807,Colton,CA,34.043,-117.3333,San Bernardino,CA,34.1083,-117.2898,9.1,0.2,9:00:00,9:15:00,9:55:00,10:10:00,0.5,"1,2,3,4,5,6"
9173Q-808,9173Q-808,San Bernardino,CA,34.1083,-117.2898,Colton,CA,34.043,-117.3333,8.6,0.2,11:25:00,11:40:00,12:19:59,12:35:00,0.5,"1,2,3,4,5,6"
9173Q-809,9173Q-809,Colton,CA,34.043,-117.3333,Moreno Valley,CA,33.9425,-117.2297,14.2,0.3,10:15:00,10:30:00,11:15:00,11:30:00,0.5,"1,2,3,4,5"
9173Q-810,9173Q-810,Moreno Valley,CA,33.9425,-117.2297,Colton,CA,34.043,-117.3333,15.2,0.4,11:30:00,11:45:00,12:30:00,12:45:00,0.5,"1,2,3,4,5"
9173Q-811,9173Q-811,Colton,CA,34.043,-117.3333,Moreno Valley,CA,33.9425,-117.2297,14.2,0.3,9:00:00,9:15:00,10:00:00,10:15:00,0.5,"1,6"
9173Q-812,9173Q-812,Moreno Valley,CA,33.9425,-117.2297,Colton,CA,34.043,-117.3333,15.2,0.4,10:15:00,10:30:00,11:15:00,11:30:00,0.5,"1,6"
9173Q-813,9173Q-813,Colton,CA,34.043,-117.3333,San Bernardino,CA,34.1083,-117.2898,9.1,0.2,5:10:00,5:25:00,6:35:00,6:50:00,0.5,"1,2,3,4,5"
9173Q-814,9173Q-814,San Bernardino,CA,34.1083,-117.2898,Colton,CA,34.043,-117.3333,8.6,0.2,6:50:00,7:05:00,8:10:00,8:24:59,0.5,"1,2,3,4,5"
9173Q-817,9173Q-817,Colton,CA,34.043,-117.3333,San Bernardino,CA,34.1083,-117.2898,9.1,0.2,7:39:59,7:55:00,8:35:00,8:50:00,0.5,"1,2,3,4,5"
9173Q-818,9173Q-818,San Bernardino,CA,34.1083,-117.2898,Colton,CA,34.043,-117.3333,8.6,0.2,8:50:00,9:05:00,9:45:00,10:00:00,0.5,"1,2,3,4,5"
