id,name,origin_city,origin_state,origin_lat,origin_lng,dest_city,dest_state,dest_lat,dest_lng,route_miles,route_duration_hours,pickup_time,pickup_end_time,delivery_time,delivery_end_time,dwell_hours,active_days
rs7by3cwg7jh070y8h26xqf3rs83mcgd,9173Q-606,Santa Ana,CA,33.6963034,-117.9115662,Colton,CA,34.0430336,-117.333347,51.62,0.94,11:15:00,11:30:00,12:30:00,12:45:00,0.5,"1,2,3,4,5,6"
rs7798ewsjarxdsvjxkagvbpv583nmac,9173Q-607,Colton,CA,34.0430336,-117.333347,Santa Ana,CA,33.6963034,-117.9115662,50.35,0.88,7:45:00,8:00:00,9:00:00,9:15:00,0.5,"1,2,3,4,5,6"
rs72h4h9vnxhh9s5h97cg8dj5583mp92,9173Q-608,Santa Ana,CA,33.6963034,-117.9115662,Colton,CA,34.0430336,-117.333347,51.62,0.94,9:15:00,9:30:00,10:30:00,10:45:00,0.5,"1,2,3,4,5,6"
rs7430z7px6vmxft5sb2khnz3n83nhc5,9173Q-609,Colton,CA,34.0430336,-117.333347,Santa Ana,CA,33.6963034,-117.9115662,50.35,0.88,11:50:00,12:05:00,13:20:00,13:35:00,0.5,"1,2,3,4,5,6"
rs7bqa5k9pqhecqfhazhbr2b8183nc8e,9173Q-610,Santa Ana,CA,33.6963034,-117.9115662,Colton,CA,34.0430336,-117.333347,51.62,0.94,13:35:00,13:49:59,15:05:00,15:19:59,0.5,"1,2,3,4,5,6"
rs7d1f7x9v5tt9776zjkdjt7an83nccf,9173Q-613,Colton,CA,34.0430336,-117.333347,Santa Ana,CA,33.6963034,-117.9115662,50.35,0.88,16:30:00,16:45:00,18:00:00,18:15:00,0.5,"2,3,4"
rs72ntkk9w3hqyqnacw8rjymtn83n413,9173Q-614,Santa Ana,CA,33.6963034,-117.9115662,Colton,CA,34.0430336,-117.333347,51.62,0.94,18:15:00,18:30:00,19:40:00,19:55:00,0.5,"2,3,4"
rs74jheaxqz0nqvhn7k0nkzyqx83mr5q,9173Q-615,Colton,CA,34.0430336,-117.333347,Santa Ana,CA,33.6963034,-117.9115662,50.35,0.88,19:15:00,19:30:00,20:45:00,21:00:00,0.5,"1,2,3,5,6"
rs7574gfxn6rdp24bhgjnbbycs83nspd,9173Q-616,Santa Ana,CA,33.6963034,-117.9115662,Colton,CA,34.0430336,-117.333347,51.62,0.94,21:00:00,21:15:00,22:15:00,22:30:00,0.5,"1,2,3,5,6"
rs735w6vmrr40pz4bhyqmps20h83nh50,9173Q-617,Colton,CA,34.0430336,-117.333347,Santa Ana,CA,33.6963034,-117.9115662,50.35,0.88,20:00:00,20:15:00,21:30:00,21:45:00,0.5,"2,4"
rs74pp49f5ffa2tv6mgqmwmrhs83ms5e,9173Q-618,Santa Ana,CA,33.6963034,-117.9115662,Colton,CA,34.0430336,-117.333347,51.62,0.94,21:45:00,22:00:00,23:15:00,23:30:00,0.5,"2,4"
rs71s9hkzj3cj7ae57xc11fbgn83m8a1,9173Q-711,Colton,CA,34.0430336,-117.333347,Anaheim,CA,33.8608543,-117.8013033,34.05,0.62,13:00:00,13:15:00,14:00:00,14:10:00,0.5,"1,2,3,4,5"
rs76z42gj3vhsgtrdpwngt0yt983n0fz,9173Q-712,Anaheim,CA,33.8608543,-117.8013033,Colton,CA,34.0430336,-117.333347,35.83,0.68,14:10:00,14:15:00,15:15:00,15:30:00,0.5,"1,2,3,4,5"
rs7cqav3227xbj1m28nszs65jd83nzrt,9173Q-801,Colton,CA,34.0430336,-117.333347,San Bernardino,CA,34.0640749,-117.2198754,9.12,0.24,6:50:00,7:05:00,7:45:00,7:55:00,0.5,"1,2,3,4,5,6"
rs74r3fkq4mst7dmdhg7t9t2bx83mjrx,9173Q-802,San Bernardino,CA,34.0640749,-117.2198754,Colton,CA,34.0430336,-117.333347,8.57,0.24,7:55:00,8:00:00,8:40:00,8:55:00,0.5,"1,2,3,4,5,6"
rs79bzhksn4358434p7pccqqqh83nk9s,9173Q-807,Colton,CA,34.0430336,-117.333347,San Bernardino,CA,34.0640749,-117.2198754,9.12,0.24,9:00:00,9:15:00,9:55:00,10:10:00,0.5,"1,2,3,4,5,6"
rs72xk69yjdd6bemjbd7gmkd9d83nc9e,9173Q-808,San Bernardino,CA,34.0640749,-117.2198754,Colton,CA,34.0430336,-117.333347,8.57,0.24,11:25:00,11:40:00,12:19:59,12:35:00,0.5,"1,2,3,4,5,6"
rs736pyf18r61q5nvgvyesg6zs83n2kx,9173Q-809,Colton,CA,34.0430336,-117.333347,Moreno Valley,CA,33.9113929,-117.245976,14.24,0.33,10:15:00,10:30:00,11:15:00,11:30:00,0.5,"1,2,3,4,5"
rs76wg90002kztydwzfpd18atd83nxx6,9173Q-810,Moreno Valley,CA,33.9113929,-117.245976,Colton,CA,34.0430336,-117.333347,15.15,0.4,11:30:00,11:45:00,12:30:00,12:45:00,0.5,"1,2,3,4,5"
rs70jpnrvp187phznr5mexqf5d83mh3s,9173Q-811,Colton,CA,34.0430336,-117.333347,Moreno Valley,CA,33.9113929,-117.245976,14.24,0.33,9:00:00,9:15:00,10:00:00,10:15:00,0.5,"1,6"
rs7b2sfnmm3znzjj6fjtrhn9hd83nq8w,9173Q-812,Moreno Valley,CA,33.9113929,-117.245976,Colton,CA,34.0430336,-117.333347,15.15,0.4,10:15:00,10:30:00,11:15:00,11:30:00,0.5,"1,6"
rs732azny8y41vgbw41y7agez583nkjw,9173Q-813,Colton,CA,34.0430336,-117.333347,San Bernardino,CA,34.0640749,-117.2198754,9.12,0.24,5:10:00,5:25:00,6:35:00,6:50:00,0.5,"1,2,3,4,5"
rs7cg5gqytwqsh3tfw4rtkfak183nr76,9173Q-814,San Bernardino,CA,34.0640749,-117.2198754,Colton,CA,34.0430336,-117.333347,8.57,0.24,6:50:00,7:05:00,8:10:00,8:24:59,0.5,"1,2,3,4,5"
rs72yyvsfemee2pmx2v56jrj7n83md1x,9173Q-817,Colton,CA,34.0430336,-117.333347,San Bernardino,CA,34.0640749,-117.2198754,9.12,0.24,7:39:59,7:55:00,8:35:00,8:50:00,0.5,"1,2,3,4,5"
rs7cbhcq3j4mgep497pr99nvan83m6hd,9173Q-818,San Bernardino,CA,34.0640749,-117.2198754,Colton,CA,34.0430336,-117.333347,8.57,0.24,8:50:00,9:05:00,9:45:00,10:00:00,0.5,"1,2,3,4,5"
Exported 50 lanes
